media,categorie,positionnement,cumul_articles,article_cette_semaine
22-med,Indépendant,Pluraliste / internationaliste,0,Non
AOC,Indépendant,Centre-gauche intellectuel / critique,1,Oui
Arrêt sur images,Indépendant,Critique des médias / gauche,1,Oui
Au Poste,Indépendant,Gauche radicale / libertés publiques,0,Non
Basta !,Indépendant,Gauche écologiste et sociale,1,Oui
Blast,Indépendant,Gauche critique / enquête,0,Non
Bon Pote,Indépendant,Écologiste / progressiste,1,Oui
Guiti News,Indépendant,Journalisme de l’exil / droits humains,0,Non
Mediapart,Indépendant,Gauche critique / investigation,1,Oui
Charlie Hebdo,Indépendant,Gauche libertaire / satirique,1,Oui
Le Canard enchaîné,Indépendant,Satirique / indépendant,1,Oui
Reporterre,Indépendant,Écologiste / critique,1,Oui
StreetPress,Indépendant,Gauche / société et investigation,1,Oui
Le Média,Indépendant,Gauche / social-écologiste,1,Oui
L’Humanité,Non indépendant,Gauche / communiste,1,Oui
Le Monde,Non indépendant,Centre-gauche / libéral-progressiste,1,Oui
Le Figaro,Non indépendant,Droite / libéral-conservateur,1,Oui
Libération,Non indépendant,Gauche / centre-gauche,1,Oui
Les Échos,Non indépendant,Libéral / centre-droit,1,Oui
Le Parisien / Aujourd’hui en France,Non indépendant,Centre / populaire,1,Oui
Ouest-France,Non indépendant,Centre / régional,1,Oui
L’Obs,Non indépendant,Centre-gauche / progressiste,1,Oui
Le Point,Non indépendant,Centre-droit / libéral,1,Oui
L’Express,Non indépendant,Centre / centre-droit,1,Oui
Marianne,Non indépendant,Républicain / souverainiste,1,Oui
Valeurs actuelles,Non indépendant,Droite conservatrice / extrême droite,1,Oui
Courrier international,Non indépendant,Centre / internationaliste,1,Oui
BFM TV,Non indépendant,Centre-droit / info continue,0,Non
CNews,Non indépendant,Droite conservatrice,1,Oui
France Inter,Non indépendant,Centre-gauche / service public,1,Oui
Europe 1,Non indépendant,Droite / centre-droit,1,Oui
RTL,Non indépendant,Centre / populaire,1,Oui
France 2 / France 3,Non indépendant,Centre / audiovisuel public,0,Non
TF1,Non indépendant,Centre / grand public,1,Oui
L’Opinion,Non indépendant,Libéral / pro-européen,1,Oui
