media,categorie,positionnement,url_rss
Le Monde,Non indépendant,Centre-gauche / libéral-progressiste,https://www.lemonde.fr/rss/une.xml
Le Figaro,Non indépendant,Droite / libéral-conservateur,https://www.lefigaro.fr/rss/figaro_actualites.xml
Libération,Non indépendant,Gauche / centre-gauche,https://www.liberation.fr/arc/outboundfeeds/rss/
Les Échos,Non indépendant,Libéral / centre-droit,https://www.lesechos.fr/rss/rss_une.xml
France Inter,Non indépendant,Centre-gauche / service public,https://www.radiofrance.fr/franceinter/rss
TF1 Info,Non indépendant,Centre / grand public,https://www.tf1info.fr/feeds/rss/actualites.xml
RTL,Non indépendant,Centre / populaire,https://www.rtl.fr/rss
Mediapart,Indépendant,Gauche critique / investigation,https://www.mediapart.fr/journal/rss
Reporterre,Indépendant,Écologiste / critique,https://reporterre.net/spip.php?page=backend
StreetPress,Indépendant,Gauche / société et investigation,https://www.streetpress.com/rss
Bon Pote,Indépendant,Écologiste / progressiste,https://bonpote.com/feed/
AOC,Indépendant,Centre-gauche intellectuel / critique,https://aoc.media/feed/
Arrêt sur images,Indépendant,Critique des médias / gauche,https://www.arretsurimages.net/feed
Le Média,Indépendant,Gauche / social-écologiste,https://www.lemediatv.fr/rss
